Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 
TIME       : 
FILENAME   : 
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-EU148  219.
  Instrument number       =UTC-6
                          =0
  Location                =EXAMPLE_2
  Sample period           =H01
  Sample method           =T
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


[Series settings]
  Serial number           =..00-EU148  219.
  Instrument number       =UTC-6
  Location                =NO_36_VEI_EU148
  Sample period           =00 01:00:00 0
  Sample method           =T
  Start date / time       =16:13:11 1-03-24
  End date / time         =16:13:10 30-06-24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


Date/time;Pressure[cmH2O];Temperature[�C]
2024/03/01 00:19:55;1108,808;21,647
2024/03/01 01:19:55;1108,283;21,630
2024/03/01 02:19:55;1106,067;21,600
2024/03/01 03:19:55;1107,583;21,570
2024/03/01 04:19:55;1119,833;21,583
2024/03/01 05:19:55;1119,425;21,570
2024/03/01 06:19:55;1120,125;21,560
2024/03/01 07:19:55;1120,417;21,560
2024/03/01 08:19:55;1120,533;21,553
2024/03/01 09:19:55;1120,825;21,537
2024/03/01 10:19:55;1120,708;21,543
2024/03/01 11:19:55;1120,708;21,530
2024/03/01 12:19:55;1120,125;21,543
2024/03/01 13:19:55;1119,308;21,537
2024/03/01 14:19:55;1119,600;21,537
2024/03/01 15:19:55;1119,425;21,537
2024/03/01 16:19:55;1120,125;21,530
2024/03/01 17:19:55;1119,717;21,537
2024/03/01 18:19:55;1120,533;21,513
2024/03/01 19:19:55;1120,417;21,513
2024/03/01 20:19:55;1120,708;21,537
2024/03/01 21:19:55;1121,350;21,530
2024/03/01 22:19:55;1121,642;21,513
2024/03/01 23:19:55;1120,533;21,507
2024/03/02 00:19:55;1120,825;21,513
2024/03/02 01:19:55;1120,533;21,513
2024/03/02 02:19:55;1120,242;21,507
2024/03/02 03:19:55;1119,717;21,513
2024/03/02 04:19:55;1119,133;21,490
2024/03/02 05:19:55;1120,533;21,543
2024/03/02 06:19:55;1120,825;21,473
2024/03/02 07:19:55;1121,758;21,507
2024/03/02 08:19:55;1121,933;21,507
2024/03/02 09:19:55;1122,458;21,490
2024/03/02 10:19:55;1122,225;21,473
2024/03/02 11:19:55;1122,458;21,460
2024/03/02 12:19:55;1121,525;21,460
2024/03/02 13:19:55;1120,125;21,467
2024/03/02 14:19:55;1120,125;21,490
2024/03/02 15:19:55;1119,133;21,507
2024/03/02 16:19:55;1118,492;21,467
2024/03/02 17:19:55;1118,317;21,420
2024/03/02 18:19:55;1118,725;21,420
2024/03/02 19:19:55;1118,725;21,413
2024/03/02 20:19:55;1119,017;21,420
2024/03/02 21:19:55;1119,425;21,420
2024/03/02 22:19:55;1119,308;21,420
2024/03/02 23:19:55;1119,600;21,380
2024/03/03 00:19:55;1118,900;21,403
2024/03/03 01:19:55;1118,725;21,403
2024/03/03 02:19:55;1117,908;21,397
2024/03/03 03:19:55;1117,208;21,390
2024/03/03 04:19:55;1117,383;21,357
2024/03/03 05:19:55;1117,383;21,413
2024/03/03 06:19:55;1117,092;21,357
2024/03/03 07:19:55;1117,208;21,390
2024/03/03 08:19:55;1117,908;21,367
2024/03/03 09:19:55;1118,317;21,350
2024/03/03 10:19:55;1118,200;21,320
2024/03/03 11:19:55;1117,383;21,270
2024/03/03 12:19:55;1116,683;21,310
2024/03/03 13:19:55;1115,867;21,287
2024/03/03 14:19:55;1114,992;21,263
2024/03/03 15:19:55;1114,583;21,287
2024/03/03 16:19:55;1114,175;21,280
2024/03/03 17:19:55;1114,058;21,270
2024/03/03 18:19:55;1114,058;21,223
2024/03/03 19:19:55;1114,467;21,263
2024/03/03 20:19:55;1114,467;21,257
2024/03/03 21:19:55;1114,467;21,270
2024/03/03 22:19:55;1114,175;21,257
2024/03/03 23:19:55;1113,475;21,247
2024/03/04 00:19:55;1113,358;21,233
2024/03/04 01:19:55;1113,067;21,257
2024/03/04 02:19:55;1112,250;21,257
2024/03/04 03:19:55;1111,550;21,247
2024/03/04 04:19:55;1111,842;21,257
2024/03/04 05:19:55;1111,958;21,240
2024/03/04 06:19:55;1112,425;21,240
2024/03/04 07:19:55;1112,950;21,240
2024/03/04 08:19:55;1113,475;21,223
2024/03/04 09:19:55;1113,242;21,240
2024/03/04 10:19:55;1113,067;21,240
2024/03/04 11:19:55;1112,658;21,240
2024/03/04 12:19:55;1111,842;21,233
2024/03/04 13:19:55;1110,033;21,223
2024/03/04 14:19:55;1109,100;21,223
2024/03/04 15:19:55;1108,283;21,223
2024/03/04 16:19:55;1111,025;21,223
2024/03/04 17:19:55;1142,058;21,233
2024/03/04 18:19:55;1138,792;21,153
2024/03/04 19:19:55;1129,633;21,163
2024/03/04 20:19:55;1131,325;21,247
2024/03/04 21:19:55;1133,133;21,310
2024/03/04 22:19:55;1135,292;21,263
2024/03/04 23:19:55;1138,792;21,200
2024/03/05 00:19:55;1181,317;21,210
2024/03/05 01:19:55;1200,217;21,100
2024/03/05 02:19:55;1212,933;21,100
2024/03/05 03:19:55;1213,458;21,263
2024/03/05 04:19:55;1208,325;21,187
2024/03/05 05:19:55;1204,358;21,257
2024/03/05 06:19:55;1202,958;21,287
2024/03/05 07:19:55;1209,317;21,287
2024/03/05 08:19:55;1205,292;21,287
2024/03/05 09:19:55;1201,442;21,263
2024/03/05 10:19:55;1196,775;21,263
2024/03/05 11:19:55;1190,825;21,240
2024/03/05 12:19:55;1185,167;21,280
2024/03/05 13:19:55;1180,033;21,270
2024/03/05 14:19:55;1173,558;21,287
2024/03/05 15:19:55;1171,050;21,263
2024/03/05 16:19:55;1166,675;21,263
2024/03/05 17:19:55;1161,833;21,280
2024/03/05 18:19:55;1158,100;21,257
2024/03/05 19:19:55;1155,183;21,287
2024/03/05 20:19:55;1153,142;21,287
2024/03/05 21:19:55;1151,333;21,270
2024/03/05 22:19:55;1149,117;21,223
2024/03/05 23:19:55;1147,600;21,263
2024/03/06 00:19:55;1145,675;21,280
2024/03/06 01:19:55;1144,275;21,287
2024/03/06 02:19:55;1143,342;21,217
2024/03/06 03:19:55;1142,233;21,223
2024/03/06 04:19:55;1141,242;21,270
2024/03/06 05:19:55;1140,950;21,270
2024/03/06 06:19:55;1140,717;21,257
2024/03/06 07:19:55;1140,308;21,263
2024/03/06 08:19:55;1140,542;21,280
2024/03/06 09:19:55;1139,725;21,257
2024/03/06 10:19:55;1139,725;21,270
2024/03/06 11:19:55;1139,200;21,263
2024/03/06 12:19:55;1138,092;21,247
2024/03/06 13:19:55;1137,275;21,257
2024/03/06 14:19:55;1135,992;21,257
2024/03/06 15:19:55;1135,175;21,257
2024/03/06 16:19:55;1134,650;21,247
2024/03/06 17:19:55;1134,650;21,247
2024/03/06 18:19:55;1135,058;21,257
2024/03/06 19:19:55;1135,292;21,257
2024/03/06 20:19:55;1135,467;21,257
2024/03/06 21:19:55;1134,767;21,240
