Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 
TIME       : 
FILENAME   : 
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-EU174  219.
  Instrument number       =UTC-6
                          =0
  Location                =EXAMPLE_1
  Sample period           =H01
  Sample method           =T
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


[Series settings]
  Serial number           =..00-EU174  219.
  Instrument number       =UTC-6
  Location                =NO_35_VEI_EU174
  Sample period           =00 01:00:00 0
  Sample method           =T
  Start date / time       =16:13:11 1-03-24
  End date / time         =16:13:10 30-06-24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   �C
  Range                   =100,000   �C


Date/time;Pressure[cmH2O];Temperature[�C]
2024/03/05 20:13:16;1225,942;20,207
2024/03/05 21:13:16;1225,067;20,240
2024/03/05 22:13:16;1223,725;20,230
2024/03/05 23:13:16;1220,983;20,230
2024/03/06 00:13:16;1217,892;20,253
2024/03/06 01:13:16;1215,558;20,247
2024/03/06 02:13:16;1213,400;20,253
2024/03/06 03:13:16;1210,892;20,247
2024/03/06 04:13:16;1209,433;20,263
2024/03/06 05:13:16;1208,092;20,253
2024/03/06 06:13:16;1207,392;20,253
2024/03/06 07:13:16;1205,933;20,263
2024/03/06 08:13:16;1205,350;20,263
2024/03/06 09:13:16;1204,475;20,263
2024/03/06 10:13:16;1204,008;20,263
2024/03/06 11:13:16;1202,725;20,263
2024/03/06 12:13:16;1201,675;20,287
2024/03/06 13:13:16;1200,100;20,277
2024/03/06 14:13:16;1198,467;20,277
2024/03/06 15:13:16;1197,708;20,287
2024/03/06 16:13:16;1197,125;20,277
2024/03/06 17:13:16;1196,250;20,293
2024/03/06 18:13:16;1195,958;20,287
2024/03/06 19:13:16;1195,958;20,287
2024/03/06 20:13:16;1196,133;20,300
2024/03/06 21:13:16;1195,842;20,287
2024/03/06 22:13:16;1195,258;20,300
2024/03/06 23:13:16;1195,375;20,293
2024/03/07 00:13:16;1195,083;20,300
2024/03/07 01:13:16;1194,967;20,293
2024/03/07 02:13:16;1194,208;20,287
2024/03/07 03:13:16;1194,675;20,317
2024/03/07 04:13:16;1194,092;20,317
2024/03/07 05:13:16;1193,917;20,310
2024/03/07 06:13:16;1194,383;20,310
2024/03/07 07:13:16;1194,792;20,317
2024/03/07 08:13:16;1195,550;20,317
2024/03/07 09:13:16;1194,792;20,333
2024/03/07 10:13:16;1195,083;20,317
2024/03/07 11:13:16;1194,500;20,323
2024/03/07 12:13:16;1194,500;20,323
2024/03/07 13:13:16;1193,508;20,317
2024/03/07 14:13:16;1192,458;20,323
2024/03/07 15:13:16;1192,342;20,323
2024/03/07 16:13:16;1192,167;20,333
2024/03/07 17:13:16;1192,050;20,340
2024/03/07 18:13:16;1191,758;20,340
2024/03/07 19:13:16;1191,175;20,333
2024/03/07 20:13:16;1192,050;20,350
2024/03/07 21:13:16;1191,583;20,340
2024/03/07 22:13:16;1191,758;20,333
2024/03/07 23:13:16;1191,175;20,350
2024/03/08 00:13:16;1190,417;20,350
2024/03/08 01:13:16;1190,592;20,340
2024/03/08 02:13:16;1189,833;20,350
2024/03/08 03:13:16;1189,542;20,350
2024/03/08 04:13:16;1189,542;20,340
2024/03/08 05:13:16;1188,550;20,350
2024/03/08 06:13:16;1188,842;20,357
2024/03/08 07:13:16;1188,667;20,363
2024/03/08 08:13:16;1188,550;20,350
2024/03/08 09:13:16;1187,967;20,357
2024/03/08 10:13:16;1187,792;20,350
2024/03/08 11:13:16;1186,800;20,350
2024/03/08 12:13:16;1186,625;20,363
2024/03/08 13:13:16;1184,758;20,380
2024/03/08 14:13:16;1183,125;20,357
2024/03/08 15:13:16;1182,367;20,380
2024/03/08 16:13:16;1182,542;20,373
2024/03/08 17:13:16;1183,708;20,363
2024/03/08 18:13:16;1225,475;20,373
2024/03/08 19:13:16;1224,483;20,380
2024/03/08 20:13:16;1224,892;20,373
2024/03/08 21:13:16;1223,725;20,380
2024/03/08 22:13:16;1224,483;20,380
2024/03/08 23:13:16;1223,608;20,380
2024/03/09 00:13:16;1223,900;20,373
2024/03/09 01:13:16;1223,608;20,373
2024/03/09 02:13:16;1223,142;20,387
2024/03/09 03:13:16;1223,025;20,380
2024/03/09 04:13:16;1223,025;20,373
2024/03/09 05:13:16;1224,017;20,380
2024/03/09 06:13:16;1225,183;20,387
2024/03/09 07:13:16;1225,942;20,380
2024/03/09 08:13:16;1227,400;20,397
2024/03/09 09:13:16;1227,400;20,380
2024/03/09 10:13:16;1227,575;20,380
2024/03/09 11:13:16;1227,575;20,380
2024/03/09 12:13:16;1227,575;20,387
2024/03/09 13:13:16;1226,992;20,397
2024/03/09 14:13:16;1226,408;20,397
2024/03/09 15:13:16;1225,942;20,380
2024/03/09 16:13:16;1226,408;20,397
2024/03/09 17:13:16;1226,700;20,397
2024/03/09 18:13:16;1226,408;20,387
2024/03/09 19:13:16;1227,108;20,403
2024/03/09 20:13:16;1227,400;20,403
2024/03/09 21:13:16;1227,983;20,387
2024/03/09 22:13:16;1227,400;20,403
2024/03/09 23:13:16;1227,400;20,403
2024/03/10 00:13:16;1226,700;20,403
2024/03/10 01:13:16;1225,942;20,410
2024/03/10 02:13:16;1224,892;20,403
2024/03/10 03:13:16;1223,317;20,403
2024/03/10 04:13:16;1222,267;20,403
2024/03/10 05:13:16;1221,567;20,410
2024/03/10 06:13:16;1220,400;20,410
2024/03/10 07:13:16;1219,817;20,410
2024/03/10 08:13:16;1219,817;20,410
2024/03/10 09:13:16;1218,475;20,410
2024/03/10 10:13:16;1217,483;20,397
2024/03/10 11:13:16;1215,733;20,410
2024/03/10 12:13:16;1214,275;20,410
2024/03/10 13:13:16;1211,767;20,410
2024/03/10 14:13:16;1209,550;20,420
2024/03/10 15:13:16;1208,967;20,410
2024/03/10 16:13:16;1207,100;20,410
2024/03/10 17:13:16;1206,225;20,427
2024/03/10 18:13:16;1205,933;20,410
2024/03/10 19:13:16;1205,933;20,420
2024/03/10 20:13:16;1204,883;20,420
2024/03/10 21:13:16;1204,300;20,420
2024/03/10 22:13:16;1203,600;20,410
2024/03/10 23:13:16;1203,017;20,427
2024/03/11 00:13:16;1202,433;20,420
2024/03/11 01:13:16;1201,675;20,420
2024/03/11 02:13:16;1201,383;20,410
2024/03/11 03:13:16;1200,800;20,420
2024/03/11 04:13:16;1201,383;20,433
2024/03/11 05:13:16;1201,675;20,420
2024/03/11 06:13:16;1202,550;20,420
2024/03/11 07:13:16;1203,717;20,443
2024/03/11 08:13:16;1203,717;20,427
2024/03/11 09:13:16;1203,600;20,420
2024/03/11 10:13:16;1203,892;20,427
2024/03/11 11:13:16;1203,308;20,433
2024/03/11 12:13:16;1201,267;20,427
2024/03/11 13:13:16;1199,925;20,433
2024/03/11 14:13:16;1198,642;20,443
2024/03/11 15:13:16;1197,883;20,443
2024/03/11 16:13:16;1196,250;20,433
